timestamp,Actual Price,Predicted Price
2023/6/8,234.86,224.57
2023/6/9,244.4,234.86
2023/6/12,249.83,244.4
2023/6/13,258.71,249.83
2023/6/14,256.79,258.71
2023/6/15,255.9,256.79
2023/6/16,260.54,255.9
2023/6/20,274.45,260.54
2023/6/21,259.46,274.45
2023/6/22,264.61,259.46
2023/6/23,256.6,264.61
2023/6/26,241.05,256.6
2023/6/27,250.21,241.05
2023/6/28,256.24,250.21
2023/6/29,257.5,256.24
2023/6/30,261.77,257.5
2023/7/3,279.82,261.77
2023/7/5,282.48,279.82
2023/7/6,276.54,282.48
2023/7/7,274.43,276.54
2023/7/10,269.61,274.43
2023/7/11,269.79,269.61
2023/7/12,271.99,269.79
2023/7/13,277.9,271.99
2023/7/14,281.38,277.9
2023/7/17,290.38,281.38
2023/7/18,293.34,290.38
2023/7/19,291.26,293.34
2023/7/20,262.9,291.26
2023/7/21,260.02,262.9
2023/7/24,269.06,260.02
2023/7/25,265.28,269.06
2023/7/26,264.35,265.28
2023/7/27,255.71,264.35
2023/7/28,266.44,255.71
2023/7/31,267.43,266.44
2023/8/1,261.07,267.43
2023/8/2,254.11,261.07
2023/8/3,259.32,254.11
2023/8/4,253.86,259.32
2023/8/7,251.45,253.86
2023/8/8,249.7,251.45
2023/8/9,242.19,249.7
2023/8/10,245.34,242.19
2023/8/11,242.65,245.34
2023/8/14,239.76,242.65
2023/8/15,232.96,239.76
2023/8/16,225.6,232.96
2023/8/17,219.22,225.6
2023/8/18,215.49,219.22
2023/8/21,231.28,215.49
2023/8/22,233.19,231.28
2023/8/23,236.86,233.19
2023/8/24,230.04,236.86
2023/8/25,238.59,230.04
2023/8/28,238.82,238.59
2023/8/29,257.18,238.82
2023/8/30,256.9,257.18
2023/8/31,258.08,256.9
2023/9/1,245.01,258.08
2023/9/5,256.49,245.01
2023/9/6,251.92,256.49
2023/9/7,251.49,251.92
2023/9/8,248.5,251.49
2023/9/11,273.58,248.5
2023/9/12,267.48,273.58
2023/9/13,271.3,267.48
2023/9/14,276.04,271.3
2023/9/15,274.39,276.04
2023/9/18,265.28,274.39
2023/9/19,266.5,265.28
2023/9/20,262.59,266.5
2023/9/21,255.7,262.59
2023/9/22,244.88,255.7
2023/9/25,246.99,244.88
2023/9/26,244.12,246.99
2023/9/27,240.5,244.12
2023/9/28,246.38,240.5
2023/9/29,250.22,246.38
2023/10/2,251.6,250.22
2023/10/3,246.53,251.6
2023/10/4,261.16,246.53
2023/10/5,260.05,261.16
2023/10/6,260.53,260.05
2023/10/9,259.67,260.53
2023/10/10,263.62,259.67
2023/10/11,262.99,263.62
2023/10/12,258.87,262.99
2023/10/13,251.12,258.87
2023/10/16,253.92,251.12
2023/10/17,254.85,253.92
2023/10/18,242.68,254.85
2023/10/19,220.11,242.68
2023/10/20,211.99,220.11
2023/10/23,212.08,211.99
2023/10/24,216.52,212.08
2023/10/25,212.42,216.52
2023/10/26,205.76,212.42
2023/10/27,207.3,205.76
2023/10/30,197.36,207.3
2023/10/31,200.84,197.36
2023/11/1,205.66,200.84
2023/11/2,218.51,205.66
2023/11/3,219.96,218.51
2023/11/6,219.27,219.96
2023/11/7,222.18,219.27
2023/11/8,222.11,222.18
2023/11/9,209.98,222.11
2023/11/10,214.65,209.98
2023/11/13,223.71,214.65
2023/11/14,237.41,223.71
2023/11/15,242.84,237.41
2023/11/16,233.59,242.84
2023/11/17,234.3,233.59
2023/11/20,235.6,234.3
2023/11/21,241.2,235.6
2023/11/22,234.21,241.2
2023/11/24,235.45,234.21
2023/11/27,236.08,235.45
2023/11/28,246.72,236.08
2023/11/29,244.14,246.72
2023/11/30,240.08,244.14
2023/12/1,238.83,240.08
2023/12/4,235.58,238.83
2023/12/5,238.72,235.58
2023/12/6,239.37,238.72
2023/12/7,242.64,239.37
2023/12/8,243.84,242.64
2023/12/11,239.74,243.84
2023/12/12,237.01,239.74
2023/12/13,239.29,237.01
2023/12/14,251.05,239.29
2023/12/15,253.5,251.05
2023/12/18,252.08,253.5
2023/12/19,257.22,252.08
2023/12/20,247.14,257.22
2023/12/21,254.5,247.14
2023/12/22,252.54,254.5
2023/12/26,256.61,252.54
2023/12/27,261.44,256.61
2023/12/28,253.18,261.44
2023/12/29,248.48,253.18
2024/1/2,248.42,248.48
2024/1/3,238.45,248.42
2024/1/4,237.93,238.45
2024/1/5,237.49,237.93
2024/1/8,240.45,237.49
2024/1/9,234.96,240.45
2024/1/10,233.94,234.96
2024/1/11,227.22,233.94
2024/1/12,218.89,227.22
2024/1/16,219.91,218.89
2024/1/17,215.55,219.91
2024/1/18,211.88,215.55
2024/1/19,212.19,211.88
2024/1/22,208.8,212.19
2024/1/23,209.14,208.8
2024/1/24,207.83,209.14
2024/1/25,182.63,207.83
2024/1/26,183.25,182.63
2024/1/29,190.93,183.25
2024/1/30,191.59,190.93
2024/1/31,187.29,191.59
2024/2/1,188.86,187.29
2024/2/2,187.91,188.86
2024/2/5,181.06,187.91
2024/2/6,185.1,181.06
2024/2/7,187.58,185.1
2024/2/8,189.56,187.58
2024/2/9,193.57,189.56
2024/2/12,188.13,193.57
2024/2/13,184.02,188.13
2024/2/14,188.71,184.02
2024/2/15,200.45,188.71
2024/2/16,199.95,200.45
2024/2/20,193.76,199.95
2024/2/21,194.77,193.76
2024/2/22,197.41,194.77
2024/2/23,191.97,197.41
2024/2/26,199.4,191.97
2024/2/27,199.73,199.4
2024/2/28,202.04,199.73
2024/2/29,201.88,202.04
2024/3/1,202.64,201.88
2024/3/4,188.14,202.64
2024/3/5,180.74,188.14
2024/3/6,176.54,180.74
2024/3/7,178.65,176.54
2024/3/8,175.34,178.65
2024/3/11,177.77,175.34
2024/3/12,177.54,177.77
2024/3/13,169.48,177.54
2024/3/14,162.5,169.48
2024/3/15,163.57,162.5
2024/3/18,173.8,163.57
2024/3/19,171.32,173.8
2024/3/20,175.66,171.32
2024/3/21,172.82,175.66
2024/3/22,170.83,172.82
2024/3/25,172.63,170.83
2024/3/26,177.67,172.63
2024/3/27,179.83,177.67
2024/3/28,175.79,179.83
2024/4/1,175.22,175.79
2024/4/2,166.63,175.22
2024/4/3,168.38,166.63
2024/4/4,171.11,168.38
2024/4/5,164.9,171.11
2024/4/8,172.98,164.9
2024/4/9,176.88,172.98
2024/4/10,171.76,176.88
2024/4/11,174.6,171.76
2024/4/12,171.05,174.6
2024/4/15,161.48,171.05
2024/4/16,157.11,161.48
2024/4/17,155.45,157.11
2024/4/18,149.93,155.45
2024/4/19,147.05,149.93
2024/4/22,142.05,147.05
2024/4/23,144.68,142.05
2024/4/24,162.13,144.68
2024/4/25,170.18,162.13
2024/4/26,168.29,170.18
2024/4/29,194.05,168.29
2024/4/30,183.28,194.05
2024/5/1,179.99,183.28
2024/5/2,180.01,179.99
2024/5/3,181.19,180.01
2024/5/6,184.76,181.19
2024/5/7,177.81,184.76
2024/5/8,174.72,177.81
2024/5/9,171.97,174.72
2024/5/10,168.47,171.97
2024/5/13,171.89,168.47
2024/5/14,177.55,171.89
2024/5/15,173.99,177.55
2024/5/16,174.84,173.99
2024/5/17,177.46,174.84
2024/5/20,174.95,177.46
2024/5/21,186.6,174.95
2024/5/22,180.11,186.6
2024/5/23,173.74,180.11
2024/5/24,179.24,173.74
2024/5/28,176.75,179.24
2024/5/29,176.19,176.75
2024/5/30,178.79,176.19
2024/5/31,178.08,178.79
2024/6/3,176.29,178.08
2024/6/4,174.77,176.29
2024/6/5,175,174.77
2024/6/6,177.94,175
2024/6/7,177.48,177.94
2024/6/10,173.79,177.48
2024/6/11,170.66,173.79
2024/6/12,177.29,170.66
2024/6/13,182.47,177.29
2024/6/14,178.01,182.47
2024/6/17,187.44,178.01
2024/6/18,184.86,187.44
2024/6/20,181.57,184.86
2024/6/21,183.01,181.57
2024/6/24,182.58,183.01
2024/6/25,187.35,182.58
2024/6/26,196.37,187.35
2024/6/27,197.42,196.37
2024/6/28,197.88,197.42
2024/7/1,209.86,197.88
2024/7/2,231.26,209.86
2024/7/3,246.39,231.26
2024/7/5,251.52,246.39
2024/7/8,252.94,251.52
2024/7/9,262.33,252.94
2024/7/10,263.26,262.33
2024/7/11,241.03,263.26
2024/7/12,248.23,241.03
2024/7/15,252.64,248.23
2024/7/16,256.56,252.64
2024/7/17,248.5,256.56
2024/7/18,249.23,248.5
2024/7/19,239.2,249.23
2024/7/22,251.51,239.2
2024/7/23,246.38,251.51
2024/7/24,215.99,246.38
2024/7/25,220.25,215.99
2024/7/26,219.8,220.25
2024/7/29,232.1,219.8
2024/7/30,222.62,232.1
2024/7/31,232.07,222.62
2024/8/1,216.86,232.07
2024/8/2,207.67,216.86
2024/8/5,198.88,207.67
2024/8/6,200.64,198.88
2024/8/7,191.76,200.64
2024/8/8,198.84,191.76
2024/8/9,200,198.84
2024/8/12,197.49,200
2024/8/13,207.83,197.49
2024/8/14,201.38,207.83
2024/8/15,214.14,201.38
2024/8/16,216.12,214.14
2024/8/19,222.72,216.12
2024/8/20,221.1,222.72
2024/8/21,223.27,221.1
2024/8/22,210.66,223.27
2024/8/23,220.32,210.66
2024/8/26,213.21,220.32
2024/8/27,209.21,213.21
2024/8/28,205.75,209.21
2024/8/29,206.28,205.75
2024/8/30,214.11,206.28
2024/9/3,210.6,214.11
2024/9/4,219.41,210.6
2024/9/5,230.17,219.41
2024/9/6,210.73,230.17
2024/9/9,216.27,210.73
2024/9/10,226.17,216.27
2024/9/11,228.13,226.17
2024/9/12,229.81,228.13
2024/9/13,230.29,229.81
2024/9/16,226.78,230.29
2024/9/17,227.87,226.78
2024/9/18,227.2,227.87
2024/9/19,243.92,227.2
2024/9/20,238.25,243.92
2024/9/23,250,238.25
2024/9/24,254.27,250
2024/9/25,257.02,254.27
2024/9/26,254.22,257.02
2024/9/27,260.46,254.22
2024/9/30,261.63,260.46
2024/10/1,258.02,261.63
2024/10/2,249.02,258.02
2024/10/3,240.66,249.02
2024/10/4,250.08,240.66
2024/10/7,240.83,250.08
2024/10/8,244.5,240.83
2024/10/9,241.05,244.5
2024/10/10,238.77,241.05
2024/10/11,217.8,238.77
2024/10/14,219.16,217.8
2024/10/15,219.57,219.16
2024/10/16,221.33,219.57
2024/10/17,220.89,221.33
2024/10/18,220.7,220.89
2024/10/21,218.85,220.7
2024/10/22,217.97,218.85
2024/10/23,213.65,217.97
2024/10/24,260.48,213.65
2024/10/25,269.19,260.48
2024/10/28,262.51,269.19
2024/10/29,259.52,262.51
2024/10/30,257.55,259.52
2024/10/31,249.85,257.55
2024/11/1,248.98,249.85
2024/11/4,242.84,248.98
2024/11/5,251.44,242.84
2024/11/6,288.53,251.44
2024/11/7,296.91,288.53
2024/11/8,321.22,296.91
2024/11/11,350,321.22
2024/11/12,328.49,350
2024/11/13,330.24,328.49
